page,word_idx,word,question_image_version
question_03111,0,Care,question_images_version_238
question_03111,1,a,question_images_version_238
question_03111,2,fost,question_images_version_238
question_03111,3,obiectivul,question_images_version_238
question_03111,4,inițial,question_images_version_238
question_03111,5,al,question_images_version_238
question_03111,6,Cadrului,question_images_version_238
question_03111,7,Strategic,question_images_version_238
question_03111,8,pentru,question_images_version_238
question_03111,9,Cooperarea,question_images_version_238
question_03111,10,Europeană,question_images_version_238
question_03111,11,în,question_images_version_238
question_03111,12,Educație,question_images_version_238
question_03111,13,și,question_images_version_238
question_03111,14,Formare,question_images_version_238
question_03111,15,Profesională,question_images_version_238
question_03111,16,2020?,question_images_version_238
Ins_LearningMobility_3_question_03111_target,0,Mobilitatea,question_images_version_238
Ins_LearningMobility_3_question_03111_target,1,fizică,question_images_version_238
Ins_LearningMobility_3_question_03111_target,2,în,question_images_version_238
Ins_LearningMobility_3_question_03111_target,3,învățământul,question_images_version_238
Ins_LearningMobility_3_question_03111_target,4,superior.,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_a,0,Un,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_a,1,punct,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_a,2,de,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_a,3,referință,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_a,4,în,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_a,5,educație,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_a,6,și,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_a,7,formare,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_a,8,profesională.,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_b,0,Tinerii,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_b,1,dobândind,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_b,2,experiențe,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_b,3,de,question_images_version_238
Ins_LearningMobility_3_question_03111_distractor_b,4,învățare,question_images_version_238
