page,word_idx,word,question_image_version
question_13121,0,Care,question_images_version_203
question_13121,1,este,question_images_version_203
question_13121,2,consecința,question_images_version_203
question_13121,3,blocajului,question_images_version_203
question_13121,4,mareic,question_images_version_203
question_13121,5,dintre,question_images_version_203
question_13121,6,Lună,question_images_version_203
question_13121,7,și,question_images_version_203
question_13121,8,Pământ?,question_images_version_203
Enc_WikiMoon_13_question_13121_target,0,Luna,question_images_version_203
Enc_WikiMoon_13_question_13121_target,1,are,question_images_version_203
Enc_WikiMoon_13_question_13121_target,2,o,question_images_version_203
Enc_WikiMoon_13_question_13121_target,3,perioadă,question_images_version_203
Enc_WikiMoon_13_question_13121_target,4,de,question_images_version_203
Enc_WikiMoon_13_question_13121_target,5,rotație,question_images_version_203
Enc_WikiMoon_13_question_13121_target,6,egală,question_images_version_203
Enc_WikiMoon_13_question_13121_target,7,cu,question_images_version_203
Enc_WikiMoon_13_question_13121_target,8,timpul,question_images_version_203
Enc_WikiMoon_13_question_13121_target,9,necesar,question_images_version_203
Enc_WikiMoon_13_question_13121_target,10,pentru,question_images_version_203
Enc_WikiMoon_13_question_13121_target,11,a,question_images_version_203
Enc_WikiMoon_13_question_13121_target,12,orbita,question_images_version_203
Enc_WikiMoon_13_question_13121_target,13,în,question_images_version_203
Enc_WikiMoon_13_question_13121_target,14,jurul,question_images_version_203
Enc_WikiMoon_13_question_13121_target,15,Pământului.,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_a,0,Poziția,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_a,1,înclinată,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_a,2,la,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_a,3,maree,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_a,4,a,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_a,5,Lunii,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_a,6,în,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_a,7,timpul,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_a,8,rotațiilor,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_a,9,sale.,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_b,0,Masa,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_b,1,Lunii,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_b,2,și,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_b,3,gravitația,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_b,4,sa,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_b,5,la,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_b,6,suprafață.,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_c,0,Rotația,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_c,1,sistemului,question_images_version_203
Enc_WikiMoon_13_question_13121_distractor_c,2,solar.,question_images_version_203
question_13131,0,De,question_images_version_203
question_13131,1,ce,question_images_version_203
question_13131,2,este,question_images_version_203
question_13131,3,Luna,question_images_version_203
question_13131,4,atât,question_images_version_203
question_13131,5,de,question_images_version_203
question_13131,6,importantă,question_images_version_203
question_13131,7,pentru,question_images_version_203
question_13131,8,planeta,question_images_version_203
question_13131,9,Pământ?,question_images_version_203
Enc_WikiMoon_13_question_13131_target,0,Deoarece,question_images_version_203
Enc_WikiMoon_13_question_13131_target,1,este,question_images_version_203
Enc_WikiMoon_13_question_13131_target,2,singurul,question_images_version_203
Enc_WikiMoon_13_question_13131_target,3,satelit,question_images_version_203
