page,word_idx,word,question_image_version
question_11111,0,Când,question_images_version_203
question_11111,1,și-a,question_images_version_203
question_11111,2,început,question_images_version_203
question_11111,3,profesoara,question_images_version_203
question_11111,4,activitatea,question_images_version_203
question_11111,5,sa,question_images_version_203
question_11111,6,de,question_images_version_203
question_11111,7,teren?,question_images_version_203
Arg_PISARapaNui_11_question_11111_target,0,Acum,question_images_version_203
Arg_PISARapaNui_11_question_11111_target,1,nouă,question_images_version_203
Arg_PISARapaNui_11_question_11111_target,2,luni.,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_a,0,Acum,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_a,1,aproximativ,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_a,2,un,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_a,3,an.,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_b,0,În,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_b,1,cursul,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_b,2,anilor,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_b,3,1990.,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_c,0,La,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_c,1,începutul,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_c,2,lunii,question_images_version_203
Arg_PISARapaNui_11_question_11111_distractor_c,3,mai.,question_images_version_203
question_11121,0,Ce,question_images_version_203
question_11121,1,mister,question_images_version_203
question_11121,2,a,question_images_version_203
question_11121,3,rămas,question_images_version_203
question_11121,4,după,question_images_version_203
question_11121,5,ce,question_images_version_203
question_11121,6,s-a,question_images_version_203
question_11121,7,descoperit,question_images_version_203
question_11121,8,cum,question_images_version_203
question_11121,9,au,question_images_version_203
question_11121,10,fost,question_images_version_203
question_11121,11,mutate,question_images_version_203
question_11121,12,statuile?,question_images_version_203
Arg_PISARapaNui_11_question_11121_target,0,Motivul,question_images_version_203
Arg_PISARapaNui_11_question_11121_target,1,pentru,question_images_version_203
Arg_PISARapaNui_11_question_11121_target,2,care,question_images_version_203
