page,word_idx,word,question_image_version
question_08111,0,Cum,question_images_version_94
question_08111,1,era,question_images_version_94
question_08111,2,suprafața,question_images_version_94
question_08111,3,planetei?,question_images_version_94
Lit_Solaris_8_question_08111_target,0,Avea,question_images_version_94
Lit_Solaris_8_question_08111_target,1,puține,question_images_version_94
Lit_Solaris_8_question_08111_target,2,puține,question_images_version_94
Lit_Solaris_8_question_08111_target,3,platouri,question_images_version_94
Lit_Solaris_8_question_08111_target,4,ce,question_images_version_94
Lit_Solaris_8_question_08111_target,5,se,question_images_version_94
Lit_Solaris_8_question_08111_target,6,ridicau,question_images_version_94
Lit_Solaris_8_question_08111_target,7,deasupra,question_images_version_94
Lit_Solaris_8_question_08111_target,8,oceanului.,question_images_version_94
Lit_Solaris_8_question_08111_distractor_a,0,Avea,question_images_version_94
Lit_Solaris_8_question_08111_distractor_a,1,o,question_images_version_94
Lit_Solaris_8_question_08111_distractor_a,2,singură,question_images_version_94
Lit_Solaris_8_question_08111_distractor_a,3,insulă,question_images_version_94
Lit_Solaris_8_question_08111_distractor_a,4,de,question_images_version_94
Lit_Solaris_8_question_08111_distractor_a,5,mărimea,question_images_version_94
Lit_Solaris_8_question_08111_distractor_a,6,Europei.,question_images_version_94
Lit_Solaris_8_question_08111_distractor_b,0,Era,question_images_version_94
Lit_Solaris_8_question_08111_distractor_b,1,o,question_images_version_94
Lit_Solaris_8_question_08111_distractor_b,2,zonă,question_images_version_94
Lit_Solaris_8_question_08111_distractor_b,3,stâncoasă,question_images_version_94
Lit_Solaris_8_question_08111_distractor_b,4,de,question_images_version_94
Lit_Solaris_8_question_08111_distractor_b,5,aproximativ,question_images_version_94
Lit_Solaris_8_question_08111_distractor_b,6,600,question_images_version_94
Lit_Solaris_8_question_08111_distractor_b,7,de,question_images_version_94
Lit_Solaris_8_question_08111_distractor_b,8,mile,question_images_version_94
Lit_Solaris_8_question_08111_distractor_b,9,pătrate.,question_images_version_94
Lit_Solaris_8_question_08111_distractor_c,0,Era,question_images_version_94
Lit_Solaris_8_question_08111_distractor_c,1,în,question_images_version_94
Lit_Solaris_8_question_08111_distractor_c,2,mare,question_images_version_94
Lit_Solaris_8_question_08111_distractor_c,3,parte,question_images_version_94
Lit_Solaris_8_question_08111_distractor_c,4,deșertică.,question_images_version_94
question_08112,0,Care,question_images_version_94
question_08112,1,a,question_images_version_94
question_08112,2,fost,question_images_version_94
question_08112,3,caracterizarea,question_images_version_94
question_08112,4,inițială,question_images_version_94
question_08112,5,a,question_images_version_94
question_08112,6,oceanului,question_images_version_94
question_08112,7,de,question_images_version_94
question_08112,8,pe,question_images_version_94
question_08112,9,planeta,question_images_version_94
question_08112,10,Solaris,question_images_version_94
question_08112,11,făcută,question_images_version_94
question_08112,12,de,question_images_version_94
question_08112,13,biologi?,question_images_version_94
Lit_Solaris_8_question_08112_target,0,Oceanul,question_images_version_94
Lit_Solaris_8_question_08112_target,1,era,question_images_version_94
Lit_Solaris_8_question_08112_target,2,o,question_images_version_94
Lit_Solaris_8_question_08112_target,3,entitate,question_images_version_94
Lit_Solaris_8_question_08112_target,4,"fluidă,",question_images_version_94
Lit_Solaris_8_question_08112_target,5,o,question_images_version_94
Lit_Solaris_8_question_08112_target,6,formă,question_images_version_94
Lit_Solaris_8_question_08112_target,7,primitivă,question_images_version_94
Lit_Solaris_8_question_08112_target,8,de,question_images_version_94
Lit_Solaris_8_question_08112_target,9,viață.,question_images_version_94
Lit_Solaris_8_question_08112_distractor_a,0,Oceanul,question_images_version_94
Lit_Solaris_8_question_08112_distractor_a,1,era,question_images_version_94
Lit_Solaris_8_question_08112_distractor_a,2,o,question_images_version_94
Lit_Solaris_8_question_08112_distractor_a,3,structură,question_images_version_94
Lit_Solaris_8_question_08112_distractor_a,4,evoluată,question_images_version_94
Lit_Solaris_8_question_08112_distractor_a,5,organic,question_images_version_94
Lit_Solaris_8_question_08112_distractor_a,6,care,question_images_version_94
Lit_Solaris_8_question_08112_distractor_a,7,înconjura,question_images_version_94
Lit_Solaris_8_question_08112_distractor_a,8,întregul,question_images_version_94
Lit_Solaris_8_question_08112_distractor_a,9,glob.,question_images_version_94
Lit_Solaris_8_question_08112_distractor_b,0,Oceanul,question_images_version_94
Lit_Solaris_8_question_08112_distractor_b,1,era,question_images_version_94
Lit_Solaris_8_question_08112_distractor_b,2,un,question_images_version_94
Lit_Solaris_8_question_08112_distractor_b,3,lichid,question_images_version_94
Lit_Solaris_8_question_08112_distractor_b,4,în,question_images_version_94
Lit_Solaris_8_question_08112_distractor_b,5,mișcare,question_images_version_94
Lit_Solaris_8_question_08112_distractor_b,6,activă.,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,0,Oceanul,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,1,conținea,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,2,urme,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,3,ale,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,4,unor,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,5,specii,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,6,foarte,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,7,"evoluate,",question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,8,indicând,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,9,o,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,10,istorie,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,11,evolutivă,question_images_version_94
Lit_Solaris_8_question_08112_distractor_c,12,bogată.,question_images_version_94
question_08121,0,De,question_images_version_94
question_08121,1,ce,question_images_version_94
question_08121,2,a,question_images_version_94
question_08121,3,fost,question_images_version_94
question_08121,4,considerată,question_images_version_94
question_08121,5,imposibilă,question_images_version_94
question_08121,6,viața,question_images_version_94
question_08121,7,pe,question_images_version_94
question_08121,8,planeta,question_images_version_94
question_08121,9,Solaris?,question_images_version_94
Lit_Solaris_8_question_08121_target,0,Din,question_images_version_94
Lit_Solaris_8_question_08121_target,1,cauza,question_images_version_94
Lit_Solaris_8_question_08121_target,2,orbitei,question_images_version_94
Lit_Solaris_8_question_08121_target,3,planetei,question_images_version_94
Lit_Solaris_8_question_08121_target,4,în,question_images_version_94
Lit_Solaris_8_question_08121_target,5,jurul,question_images_version_94
Lit_Solaris_8_question_08121_target,6,mai,question_images_version_94
Lit_Solaris_8_question_08121_target,7,multor,question_images_version_94
Lit_Solaris_8_question_08121_target,8,sori.,question_images_version_94
Lit_Solaris_8_question_08121_distractor_a,0,Pentru,question_images_version_94
Lit_Solaris_8_question_08121_distractor_a,1,că,question_images_version_94
Lit_Solaris_8_question_08121_distractor_a,2,planeta,question_images_version_94
Lit_Solaris_8_question_08121_distractor_a,3,orbitează,question_images_version_94
Lit_Solaris_8_question_08121_distractor_a,4,în,question_images_version_94
Lit_Solaris_8_question_08121_distractor_a,5,jurul,question_images_version_94
Lit_Solaris_8_question_08121_distractor_a,6,unui,question_images_version_94
Lit_Solaris_8_question_08121_distractor_a,7,soare,question_images_version_94
Lit_Solaris_8_question_08121_distractor_a,8,albastru.,question_images_version_94
Lit_Solaris_8_question_08121_distractor_b,0,Deoarece,question_images_version_94
Lit_Solaris_8_question_08121_distractor_b,1,atmosfera,question_images_version_94
Lit_Solaris_8_question_08121_distractor_b,2,planetei,question_images_version_94
Lit_Solaris_8_question_08121_distractor_b,3,e,question_images_version_94
Lit_Solaris_8_question_08121_distractor_b,4,lipsită,question_images_version_94
