page,word_idx,word,question_image_version
question_09111,0,Ce,question_images_version_94
question_09111,1,a,question_images_version_94
question_09111,2,făcut,question_images_version_94
question_09111,3,Besian,question_images_version_94
question_09111,4,Vorps,question_images_version_94
question_09111,5,când,question_images_version_94
question_09111,6,orașul,question_images_version_94
question_09111,7,a,question_images_version_94
question_09111,8,dispărut,question_images_version_94
question_09111,9,din,question_images_version_94
question_09111,10,vedere?,question_images_version_94
Lit_BrokenApril_9_question_09111_target,0,S-a,question_images_version_94
Lit_BrokenApril_9_question_09111_target,1,apropiat,question_images_version_94
Lit_BrokenApril_9_question_09111_target,2,de,question_images_version_94
Lit_BrokenApril_9_question_09111_target,3,geam,question_images_version_94
Lit_BrokenApril_9_question_09111_target,4,și,question_images_version_94
Lit_BrokenApril_9_question_09111_target,5,a,question_images_version_94
Lit_BrokenApril_9_question_09111_target,6,privit,question_images_version_94
Lit_BrokenApril_9_question_09111_target,7,spre,question_images_version_94
Lit_BrokenApril_9_question_09111_target,8,orașul,question_images_version_94
Lit_BrokenApril_9_question_09111_target,9,care,question_images_version_94
Lit_BrokenApril_9_question_09111_target,10,nu,question_images_version_94
Lit_BrokenApril_9_question_09111_target,11,se,question_images_version_94
Lit_BrokenApril_9_question_09111_target,12,mai,question_images_version_94
Lit_BrokenApril_9_question_09111_target,13,vedea.,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,0,Și-a,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,1,închis,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,2,ochii,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,3,pentru,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,4,a,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,5,ascunde,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,6,vederea,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,7,și,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,8,a,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,9,strâns,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,10,mâna,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,11,soției,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_a,12,sale.,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,0,A,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,1,inspirat,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,2,parfumul,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,3,de,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,4,pe,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,5,ceafa,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,6,soției,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,7,sale,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,8,în,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,9,timp,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,10,ce,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,11,ea,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,12,își,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,13,apropia,question_images_version_94
Lit_BrokenApril_9_question_09111_distractor_b,14,fața,question_images_version_94
