time,screen,pixel_x,pixel_y,pupil
14706545,stimulus_Lit_Alchemist_4_question_4121,970.8,525.9,1294.0
14706546,stimulus_Lit_Alchemist_4_question_4121,970.8,525.9,1291.0
14706547,stimulus_Lit_Alchemist_4_question_4121,971.0,525.9,1289.0
14706548,stimulus_Lit_Alchemist_4_question_4121,971.3,526.3,1287.0
14706549,stimulus_Lit_Alchemist_4_question_4121,971.5,526.7,1287.0
14706550,stimulus_Lit_Alchemist_4_question_4121,971.6,527.0,1287.0
14706551,stimulus_Lit_Alchemist_4_question_4121,971.3,527.0,1287.0
14706552,stimulus_Lit_Alchemist_4_question_4121,971.1,527.0,1287.0
14706553,stimulus_Lit_Alchemist_4_question_4121,970.8,527.0,1287.0
14706554,stimulus_Lit_Alchemist_4_question_4121,970.7,527.7,1288.0
14706555,stimulus_Lit_Alchemist_4_question_4121,970.9,528.3,1289.0
14706556,stimulus_Lit_Alchemist_4_question_4121,971.1,528.9,1290.0
14706557,stimulus_Lit_Alchemist_4_question_4121,971.2,528.8,1290.0
14706558,stimulus_Lit_Alchemist_4_question_4121,971.1,528.6,1289.0
14706559,stimulus_Lit_Alchemist_4_question_4121,971.4,528.4,1289.0
14706560,stimulus_Lit_Alchemist_4_question_4121,971.7,528.2,1288.0
14706561,stimulus_Lit_Alchemist_4_question_4121,972.0,528.1,1287.0
14706562,stimulus_Lit_Alchemist_4_question_4121,972.0,527.8,1287.0
14706563,stimulus_Lit_Alchemist_4_question_4121,971.9,527.7,1288.0
14706564,stimulus_Lit_Alchemist_4_question_4121,971.9,527.6,1288.0
14706565,stimulus_Lit_Alchemist_4_question_4121,971.8,527.6,1289.0
14706566,stimulus_Lit_Alchemist_4_question_4121,971.4,527.6,1290.0
14706567,stimulus_Lit_Alchemist_4_question_4121,971.1,527.6,1291.0
14706568,stimulus_Lit_Alchemist_4_question_4121,970.9,527.6,1292.0
14706569,stimulus_Lit_Alchemist_4_question_4121,970.9,527.5,1293.0
14706570,stimulus_Lit_Alchemist_4_question_4121,971.0,527.7,1293.0
14706571,stimulus_Lit_Alchemist_4_question_4121,971.1,528.0,1292.0
14706572,stimulus_Lit_Alchemist_4_question_4121,971.2,528.3,1292.0
14706573,stimulus_Lit_Alchemist_4_question_4121,971.6,528.3,1291.0
14706574,stimulus_Lit_Alchemist_4_question_4121,971.9,528.5,1292.0
14706575,stimulus_Lit_Alchemist_4_question_4121,972.2,528.7,1293.0
14706576,stimulus_Lit_Alchemist_4_question_4121,972.2,528.9,1293.0
14706577,stimulus_Lit_Alchemist_4_question_4121,972.0,528.8,1293.0
14706578,stimulus_Lit_Alchemist_4_question_4121,972.0,528.7,1293.0
14706579,stimulus_Lit_Alchemist_4_question_4121,971.9,528.5,1293.0
14706580,stimulus_Lit_Alchemist_4_question_4121,972.0,528.5,1293.0
14706581,stimulus_Lit_Alchemist_4_question_4121,972.1,528.4,1293.0
14706582,stimulus_Lit_Alchemist_4_question_4121,972.0,528.3,1292.0
14706583,stimulus_Lit_Alchemist_4_question_4121,971.9,528.1,1292.0
14706584,stimulus_Lit_Alchemist_4_question_4121,971.7,528.0,1292.0
14706585,stimulus_Lit_Alchemist_4_question_4121,971.7,527.8,1292.0
14706586,stimulus_Lit_Alchemist_4_question_4121,971.7,527.7,1293.0
