time,screen,pixel_x,pixel_y,pupil
1645552,stimulus_Lit_Alchemist_4_question_4122,229.4,309.4,1371.0
1645554,stimulus_Lit_Alchemist_4_question_4122,229.8,309.3,1370.0
1645556,stimulus_Lit_Alchemist_4_question_4122,230.1,309.1,1368.0
1645558,stimulus_Lit_Alchemist_4_question_4122,230.1,308.7,1369.0
1645560,stimulus_Lit_Alchemist_4_question_4122,230.0,308.5,1368.0
1645562,stimulus_Lit_Alchemist_4_question_4122,229.8,308.4,1366.0
1645564,stimulus_Lit_Alchemist_4_question_4122,229.8,307.7,1364.0
1645566,stimulus_Lit_Alchemist_4_question_4122,230.0,307.6,1363.0
1645568,stimulus_Lit_Alchemist_4_question_4122,229.9,308.0,1363.0
1645570,stimulus_Lit_Alchemist_4_question_4122,229.8,308.3,1362.0
1645572,stimulus_Lit_Alchemist_4_question_4122,230.0,308.4,1362.0
1645574,stimulus_Lit_Alchemist_4_question_4122,230.0,308.4,1362.0
1645576,stimulus_Lit_Alchemist_4_question_4122,230.0,308.2,1362.0
1645578,stimulus_Lit_Alchemist_4_question_4122,230.1,307.7,1362.0
1645580,stimulus_Lit_Alchemist_4_question_4122,230.0,307.6,1362.0
1645582,stimulus_Lit_Alchemist_4_question_4122,229.8,307.6,1361.0
1645584,stimulus_Lit_Alchemist_4_question_4122,229.6,307.8,1359.0
1645586,stimulus_Lit_Alchemist_4_question_4122,229.7,307.7,1357.0
1645588,stimulus_Lit_Alchemist_4_question_4122,230.0,307.0,1358.0
1645590,stimulus_Lit_Alchemist_4_question_4122,230.0,306.7,1359.0
1645592,stimulus_Lit_Alchemist_4_question_4122,229.7,306.6,1359.0
1645594,stimulus_Lit_Alchemist_4_question_4122,229.7,306.5,1356.0
1645596,stimulus_Lit_Alchemist_4_question_4122,229.8,306.3,1355.0
1645598,stimulus_Lit_Alchemist_4_question_4122,230.1,306.2,1355.0
1645600,stimulus_Lit_Alchemist_4_question_4122,230.0,306.2,1354.0
1645602,stimulus_Lit_Alchemist_4_question_4122,229.9,306.3,1350.0
1645604,stimulus_Lit_Alchemist_4_question_4122,230.5,306.4,1348.0
1645606,stimulus_Lit_Alchemist_4_question_4122,230.5,306.5,1347.0
1645608,stimulus_Lit_Alchemist_4_question_4122,230.1,306.7,1346.0
1645610,stimulus_Lit_Alchemist_4_question_4122,230.3,307.0,1347.0
1645612,stimulus_Lit_Alchemist_4_question_4122,230.3,307.1,1347.0
1645614,stimulus_Lit_Alchemist_4_question_4122,230.0,307.0,1349.0
1645616,stimulus_Lit_Alchemist_4_question_4122,230.3,306.8,1349.0
1645618,stimulus_Lit_Alchemist_4_question_4122,230.3,306.9,1345.0
1645620,stimulus_Lit_Alchemist_4_question_4122,230.1,307.3,1344.0
1645622,stimulus_Lit_Alchemist_4_question_4122,230.1,307.4,1344.0
1645624,stimulus_Lit_Alchemist_4_question_4122,230.4,307.8,1344.0
1645626,stimulus_Lit_Alchemist_4_question_4122,230.1,307.9,1343.0
1645628,stimulus_Lit_Alchemist_4_question_4122,229.9,308.0,1338.0
1645630,stimulus_Lit_Alchemist_4_question_4122,230.3,307.8,1337.0
1645632,stimulus_Lit_Alchemist_4_question_4122,230.4,307.4,1338.0
1645634,stimulus_Lit_Alchemist_4_question_4122,230.5,307.1,1339.0
1645636,stimulus_Lit_Alchemist_4_question_4122,230.6,306.7,1337.0
1645638,stimulus_Lit_Alchemist_4_question_4122,230.5,306.5,1334.0
1645640,stimulus_Lit_Alchemist_4_question_4122,230.0,306.5,1332.0
1645642,stimulus_Lit_Alchemist_4_question_4122,229.8,306.7,1333.0
1645644,stimulus_Lit_Alchemist_4_question_4122,229.7,307.0,1333.0
1645646,stimulus_Lit_Alchemist_4_question_4122,230.0,306.9,1332.0
1645648,stimulus_Lit_Alchemist_4_question_4122,230.1,306.7,1331.0
1645650,stimulus_Lit_Alchemist_4_question_4122,229.9,306.5,1331.0
1645652,stimulus_Lit_Alchemist_4_question_4122,229.8,306.5,1331.0
1645654,stimulus_Lit_Alchemist_4_question_4122,229.5,306.8,1331.0
1645656,stimulus_Lit_Alchemist_4_question_4122,229.1,307.2,1329.0
1645658,stimulus_Lit_Alchemist_4_question_4122,228.9,307.4,1328.0
1645660,stimulus_Lit_Alchemist_4_question_4122,228.7,307.3,1327.0
1645662,stimulus_Lit_Alchemist_4_question_4122,229.2,307.4,1326.0
1645664,stimulus_Lit_Alchemist_4_question_4122,229.4,307.5,1324.0
1645666,stimulus_Lit_Alchemist_4_question_4122,229.6,307.2,1323.0
1645668,stimulus_Lit_Alchemist_4_question_4122,229.5,307.1,1324.0
1645670,stimulus_Lit_Alchemist_4_question_4122,230.0,307.4,1324.0
1645672,stimulus_Lit_Alchemist_4_question_4122,229.7,308.1,1321.0
1645674,stimulus_Lit_Alchemist_4_question_4122,229.5,308.6,1322.0
1645676,stimulus_Lit_Alchemist_4_question_4122,229.7,309.5,1316.0
1645678,stimulus_Lit_Alchemist_4_question_4122,230.0,309.7,1313.0
1645680,stimulus_Lit_Alchemist_4_question_4122,231.1,309.5,1310.0
1645682,stimulus_Lit_Alchemist_4_question_4122,231.9,309.2,1307.0
1645684,stimulus_Lit_Alchemist_4_question_4122,231.9,308.9,1308.0
1645686,stimulus_Lit_Alchemist_4_question_4122,232.5,308.0,1308.0
1645688,stimulus_Lit_Alchemist_4_question_4122,232.7,307.8,1308.0
1645690,stimulus_Lit_Alchemist_4_question_4122,232.4,308.1,1305.0
1645692,stimulus_Lit_Alchemist_4_question_4122,232.5,308.0,1304.0
1645694,stimulus_Lit_Alchemist_4_question_4122,232.7,307.6,1303.0
1645696,stimulus_Lit_Alchemist_4_question_4122,232.7,307.9,1302.0
1645698,stimulus_Lit_Alchemist_4_question_4122,232.7,308.1,1303.0
1645700,stimulus_Lit_Alchemist_4_question_4122,232.3,308.1,1303.0
1645702,stimulus_Lit_Alchemist_4_question_4122,231.5,308.5,1303.0
1645704,stimulus_Lit_Alchemist_4_question_4122,231.2,308.7,1303.0
1645706,stimulus_Lit_Alchemist_4_question_4122,231.1,308.7,1300.0
1645708,stimulus_Lit_Alchemist_4_question_4122,231.3,308.0,1297.0
1645710,stimulus_Lit_Alchemist_4_question_4122,232.0,307.2,1296.0
1645712,stimulus_Lit_Alchemist_4_question_4122,231.6,307.2,1297.0
1645714,stimulus_Lit_Alchemist_4_question_4122,231.6,307.0,1297.0
1645716,stimulus_Lit_Alchemist_4_question_4122,231.7,306.7,1295.0
1645718,stimulus_Lit_Alchemist_4_question_4122,231.4,306.6,1295.0
1645720,stimulus_Lit_Alchemist_4_question_4122,231.1,306.9,1295.0
1645722,stimulus_Lit_Alchemist_4_question_4122,231.1,306.9,1295.0
1645724,stimulus_Lit_Alchemist_4_question_4122,231.2,307.3,1295.0
1645726,stimulus_Lit_Alchemist_4_question_4122,231.3,307.1,1295.0
1645728,stimulus_Lit_Alchemist_4_question_4122,231.5,306.6,1294.0
1645730,stimulus_Lit_Alchemist_4_question_4122,231.5,307.0,1294.0
1645732,stimulus_Lit_Alchemist_4_question_4122,231.9,306.8,1294.0
1645734,stimulus_Lit_Alchemist_4_question_4122,232.2,306.6,1294.0
1645736,stimulus_Lit_Alchemist_4_question_4122,232.3,306.7,1294.0
1645738,stimulus_Lit_Alchemist_4_question_4122,232.7,306.8,1295.0
1645740,stimulus_Lit_Alchemist_4_question_4122,232.7,307.3,1295.0
1645742,stimulus_Lit_Alchemist_4_question_4122,232.4,308.2,1293.0
1645744,stimulus_Lit_Alchemist_4_question_4122,231.8,308.4,1291.0
1645746,stimulus_Lit_Alchemist_4_question_4122,231.6,307.5,1289.0
1645748,stimulus_Lit_Alchemist_4_question_4122,233.6,305.7,1288.0
1645750,stimulus_Lit_Alchemist_4_question_4122,239.6,302.4,1289.0
1645752,stimulus_Lit_Alchemist_4_question_4122,250.5,297.3,1289.0
1645754,stimulus_Lit_Alchemist_4_question_4122,263.3,291.8,1288.0
1645756,stimulus_Lit_Alchemist_4_question_4122,276.4,287.4,1287.0
1645758,stimulus_Lit_Alchemist_4_question_4122,288.5,284.1,1286.0
1645760,stimulus_Lit_Alchemist_4_question_4122,298.2,282.7,1286.0
1645762,stimulus_Lit_Alchemist_4_question_4122,305.3,282.9,1285.0
1645764,stimulus_Lit_Alchemist_4_question_4122,312.1,283.9,1284.0
1645766,stimulus_Lit_Alchemist_4_question_4122,315.3,283.9,1285.0
1645768,stimulus_Lit_Alchemist_4_question_4122,316.2,283.0,1284.0
1645770,stimulus_Lit_Alchemist_4_question_4122,316.7,281.5,1284.0
1645772,stimulus_Lit_Alchemist_4_question_4122,316.6,279.9,1286.0
1645774,stimulus_Lit_Alchemist_4_question_4122,316.5,279.2,1285.0
1645776,stimulus_Lit_Alchemist_4_question_4122,315.6,278.9,1283.0
1645778,stimulus_Lit_Alchemist_4_question_4122,314.7,278.3,1282.0
1645780,stimulus_Lit_Alchemist_4_question_4122,314.4,278.5,1282.0
1645782,stimulus_Lit_Alchemist_4_question_4122,313.4,279.2,1282.0
1645784,stimulus_Lit_Alchemist_4_question_4122,313.1,279.7,1281.0
1645786,stimulus_Lit_Alchemist_4_question_4122,313.3,279.9,1280.0
1645788,stimulus_Lit_Alchemist_4_question_4122,313.9,280.1,1279.0
1645790,stimulus_Lit_Alchemist_4_question_4122,314.5,280.5,1281.0
1645792,stimulus_Lit_Alchemist_4_question_4122,315.4,280.6,1282.0
1645794,stimulus_Lit_Alchemist_4_question_4122,316.2,280.1,1282.0
1645796,stimulus_Lit_Alchemist_4_question_4122,316.6,280.0,1282.0
1645798,stimulus_Lit_Alchemist_4_question_4122,316.6,280.2,1282.0
1645800,stimulus_Lit_Alchemist_4_question_4122,316.5,280.6,1282.0
1645802,stimulus_Lit_Alchemist_4_question_4122,316.3,280.8,1281.0
1645804,stimulus_Lit_Alchemist_4_question_4122,316.3,281.1,1281.0
1645806,stimulus_Lit_Alchemist_4_question_4122,316.5,281.3,1281.0
1645808,stimulus_Lit_Alchemist_4_question_4122,316.2,281.5,1282.0
1645810,stimulus_Lit_Alchemist_4_question_4122,315.5,281.3,1282.0
1645812,stimulus_Lit_Alchemist_4_question_4122,315.3,281.3,1283.0
1645814,stimulus_Lit_Alchemist_4_question_4122,315.3,281.6,1284.0
1645816,stimulus_Lit_Alchemist_4_question_4122,315.2,281.8,1283.0
1645818,stimulus_Lit_Alchemist_4_question_4122,315.0,281.9,1284.0
1645820,stimulus_Lit_Alchemist_4_question_4122,314.8,282.1,1285.0
1645822,stimulus_Lit_Alchemist_4_question_4122,314.7,282.5,1284.0
1645824,stimulus_Lit_Alchemist_4_question_4122,314.4,282.6,1282.0
1645826,stimulus_Lit_Alchemist_4_question_4122,314.3,282.8,1280.0
1645828,stimulus_Lit_Alchemist_4_question_4122,314.4,283.0,1279.0
1645830,stimulus_Lit_Alchemist_4_question_4122,314.4,283.0,1279.0
1645832,stimulus_Lit_Alchemist_4_question_4122,314.0,283.0,1279.0
1645834,stimulus_Lit_Alchemist_4_question_4122,313.7,283.1,1279.0
1645836,stimulus_Lit_Alchemist_4_question_4122,313.7,284.0,1278.0
1645838,stimulus_Lit_Alchemist_4_question_4122,313.7,283.8,1281.0
1645840,stimulus_Lit_Alchemist_4_question_4122,313.4,283.4,1283.0
1645842,stimulus_Lit_Alchemist_4_question_4122,313.2,283.1,1282.0
1645844,stimulus_Lit_Alchemist_4_question_4122,313.4,282.7,1283.0
1645846,stimulus_Lit_Alchemist_4_question_4122,313.4,282.5,1283.0
1645848,stimulus_Lit_Alchemist_4_question_4122,313.8,282.1,1284.0
1645850,stimulus_Lit_Alchemist_4_question_4122,314.1,282.0,1284.0
1645852,stimulus_Lit_Alchemist_4_question_4122,313.8,282.1,1284.0
1645854,stimulus_Lit_Alchemist_4_question_4122,313.3,282.2,1286.0
1645856,stimulus_Lit_Alchemist_4_question_4122,313.5,282.1,1286.0
1645858,stimulus_Lit_Alchemist_4_question_4122,314.1,281.8,1288.0
1645860,stimulus_Lit_Alchemist_4_question_4122,314.5,281.6,1289.0
1645862,stimulus_Lit_Alchemist_4_question_4122,315.3,280.9,1289.0
1645864,stimulus_Lit_Alchemist_4_question_4122,315.5,280.7,1289.0
1645866,stimulus_Lit_Alchemist_4_question_4122,315.5,280.7,1288.0
1645868,stimulus_Lit_Alchemist_4_question_4122,315.6,281.2,1286.0
1645870,stimulus_Lit_Alchemist_4_question_4122,316.4,281.5,1286.0
1645872,stimulus_Lit_Alchemist_4_question_4122,316.7,281.6,1287.0
1645874,stimulus_Lit_Alchemist_4_question_4122,316.3,281.7,1287.0
1645876,stimulus_Lit_Alchemist_4_question_4122,317.0,281.8,1288.0
1645878,stimulus_Lit_Alchemist_4_question_4122,316.9,282.0,1288.0
1645880,stimulus_Lit_Alchemist_4_question_4122,316.9,281.5,1290.0
1645882,stimulus_Lit_Alchemist_4_question_4122,317.1,281.6,1291.0
1645884,stimulus_Lit_Alchemist_4_question_4122,317.3,281.6,1290.0
1645886,stimulus_Lit_Alchemist_4_question_4122,317.5,281.5,1290.0
1645888,stimulus_Lit_Alchemist_4_question_4122,317.8,281.5,1290.0
1645890,stimulus_Lit_Alchemist_4_question_4122,318.1,281.8,1290.0
1645892,stimulus_Lit_Alchemist_4_question_4122,319.8,281.8,1291.0
1645894,stimulus_Lit_Alchemist_4_question_4122,324.3,282.7,1293.0
1645896,stimulus_Lit_Alchemist_4_question_4122,332.7,282.4,1293.0
1645898,stimulus_Lit_Alchemist_4_question_4122,344.1,282.4,1295.0
1645900,stimulus_Lit_Alchemist_4_question_4122,357.6,282.4,1296.0
1645902,stimulus_Lit_Alchemist_4_question_4122,369.9,281.7,1296.0
1645904,stimulus_Lit_Alchemist_4_question_4122,378.9,281.4,1297.0
1645906,stimulus_Lit_Alchemist_4_question_4122,381.5,281.3,1294.0
1645908,stimulus_Lit_Alchemist_4_question_4122,380.3,281.3,1294.0
1645910,stimulus_Lit_Alchemist_4_question_4122,376.2,281.3,1296.0
1645912,stimulus_Lit_Alchemist_4_question_4122,371.1,281.0,1295.0
1645914,stimulus_Lit_Alchemist_4_question_4122,367.4,280.8,1294.0
1645916,stimulus_Lit_Alchemist_4_question_4122,365.7,280.3,1294.0
1645918,stimulus_Lit_Alchemist_4_question_4122,365.2,280.0,1295.0
1645920,stimulus_Lit_Alchemist_4_question_4122,367.1,279.9,1294.0
1645922,stimulus_Lit_Alchemist_4_question_4122,368.8,280.3,1292.0
1645924,stimulus_Lit_Alchemist_4_question_4122,369.7,280.5,1292.0
1645926,stimulus_Lit_Alchemist_4_question_4122,370.3,280.6,1295.0
1645928,stimulus_Lit_Alchemist_4_question_4122,370.3,280.7,1296.0
1645930,stimulus_Lit_Alchemist_4_question_4122,369.2,280.8,1297.0
1645932,stimulus_Lit_Alchemist_4_question_4122,368.9,281.0,1297.0
1645934,stimulus_Lit_Alchemist_4_question_4122,369.1,281.0,1296.0
1645936,stimulus_Lit_Alchemist_4_question_4122,369.3,281.1,1294.0
1645938,stimulus_Lit_Alchemist_4_question_4122,369.5,280.8,1292.0
1645940,stimulus_Lit_Alchemist_4_question_4122,369.5,280.5,1294.0
1645942,stimulus_Lit_Alchemist_4_question_4122,368.8,280.2,1294.0
1645944,stimulus_Lit_Alchemist_4_question_4122,368.8,280.3,1293.0
1645946,stimulus_Lit_Alchemist_4_question_4122,368.6,280.2,1293.0
1645948,stimulus_Lit_Alchemist_4_question_4122,367.9,279.7,1292.0
1645950,stimulus_Lit_Alchemist_4_question_4122,367.6,279.6,1292.0
1645952,stimulus_Lit_Alchemist_4_question_4122,367.6,279.5,1292.0
1645954,stimulus_Lit_Alchemist_4_question_4122,367.6,279.0,1292.0
1645956,stimulus_Lit_Alchemist_4_question_4122,367.6,278.8,1292.0
1645958,stimulus_Lit_Alchemist_4_question_4122,367.6,278.8,1292.0
1645960,stimulus_Lit_Alchemist_4_question_4122,367.7,278.4,1290.0
1645962,stimulus_Lit_Alchemist_4_question_4122,367.7,278.0,1290.0
1645964,stimulus_Lit_Alchemist_4_question_4122,367.3,278.4,1290.0
1645966,stimulus_Lit_Alchemist_4_question_4122,367.1,278.6,1291.0
1645968,stimulus_Lit_Alchemist_4_question_4122,367.0,278.6,1290.0
1645970,stimulus_Lit_Alchemist_4_question_4122,367.5,278.4,1289.0
1645972,stimulus_Lit_Alchemist_4_question_4122,367.7,278.5,1289.0
1645974,stimulus_Lit_Alchemist_4_question_4122,367.3,278.7,1287.0
1645976,stimulus_Lit_Alchemist_4_question_4122,367.4,278.3,1285.0
1645978,stimulus_Lit_Alchemist_4_question_4122,367.9,278.1,1285.0
1645980,stimulus_Lit_Alchemist_4_question_4122,367.9,278.2,1285.0
1645982,stimulus_Lit_Alchemist_4_question_4122,368.0,278.2,1286.0
1645984,stimulus_Lit_Alchemist_4_question_4122,368.1,278.5,1286.0
1645986,stimulus_Lit_Alchemist_4_question_4122,368.0,278.7,1286.0
1645988,stimulus_Lit_Alchemist_4_question_4122,368.0,278.5,1286.0
1645990,stimulus_Lit_Alchemist_4_question_4122,368.4,278.4,1285.0
1645992,stimulus_Lit_Alchemist_4_question_4122,369.0,278.3,1285.0
1645994,stimulus_Lit_Alchemist_4_question_4122,369.3,278.5,1283.0
1645996,stimulus_Lit_Alchemist_4_question_4122,369.4,278.4,1283.0
1645998,stimulus_Lit_Alchemist_4_question_4122,369.5,278.4,1282.0
1646000,stimulus_Lit_Alchemist_4_question_4122,369.6,278.7,1280.0
1646002,stimulus_Lit_Alchemist_4_question_4122,369.9,278.8,1279.0
1646004,stimulus_Lit_Alchemist_4_question_4122,370.4,279.1,1278.0
1646006,stimulus_Lit_Alchemist_4_question_4122,370.2,278.8,1274.0
1646008,stimulus_Lit_Alchemist_4_question_4122,368.3,278.5,1274.0
1646010,stimulus_Lit_Alchemist_4_question_4122,363.5,277.2,1276.0
1646012,stimulus_Lit_Alchemist_4_question_4122,357.2,274.8,1279.0
1646014,stimulus_Lit_Alchemist_4_question_4122,345.2,272.0,1277.0
1646016,stimulus_Lit_Alchemist_4_question_4122,329.8,266.3,1275.0
1646018,stimulus_Lit_Alchemist_4_question_4122,313.7,256.9,1274.0
1646020,stimulus_Lit_Alchemist_4_question_4122,298.6,245.7,1272.0
1646022,stimulus_Lit_Alchemist_4_question_4122,282.7,229.9,1268.0
1646024,stimulus_Lit_Alchemist_4_question_4122,267.1,216.2,1260.0
1646026,stimulus_Lit_Alchemist_4_question_4122,250.5,204.7,1254.0
1646028,stimulus_Lit_Alchemist_4_question_4122,237.1,195.1,1249.0
1646030,stimulus_Lit_Alchemist_4_question_4122,225.0,186.9,1244.0
1646032,stimulus_Lit_Alchemist_4_question_4122,213.3,180.2,1236.0
1646034,stimulus_Lit_Alchemist_4_question_4122,202.8,174.9,1231.0
1646036,stimulus_Lit_Alchemist_4_question_4122,194.0,169.4,1224.0
1646038,stimulus_Lit_Alchemist_4_question_4122,188.8,160.8,1220.0
1646040,stimulus_Lit_Alchemist_4_question_4122,184.5,151.5,1217.0
1646042,stimulus_Lit_Alchemist_4_question_4122,179.5,141.8,1212.0
1646044,stimulus_Lit_Alchemist_4_question_4122,177.8,135.2,1210.0
1646046,stimulus_Lit_Alchemist_4_question_4122,177.5,131.1,1211.0
1646048,stimulus_Lit_Alchemist_4_question_4122,176.2,128.7,1213.0
1646050,stimulus_Lit_Alchemist_4_question_4122,174.1,128.5,1214.0
1646052,stimulus_Lit_Alchemist_4_question_4122,173.0,129.7,1215.0
1646054,stimulus_Lit_Alchemist_4_question_4122,172.0,131.2,1215.0
1646056,stimulus_Lit_Alchemist_4_question_4122,170.8,133.0,1214.0
1646058,stimulus_Lit_Alchemist_4_question_4122,170.5,134.4,1213.0
1646060,stimulus_Lit_Alchemist_4_question_4122,170.5,134.8,1213.0
1646062,stimulus_Lit_Alchemist_4_question_4122,170.8,134.7,1213.0
1646064,stimulus_Lit_Alchemist_4_question_4122,170.9,134.0,1211.0
1646066,stimulus_Lit_Alchemist_4_question_4122,171.2,133.6,1212.0
1646068,stimulus_Lit_Alchemist_4_question_4122,171.6,133.2,1214.0
