page,word_idx,word,question_image_version
question_06111,0,Cum,question_images_version_203
question_06111,1,era,question_images_version_203
question_06111,2,Hans,question_images_version_203
question_06111,3,Castorp?,question_images_version_203
Lit_MagicMountain_6_question_06111_target,0,Tânăr,question_images_version_203
Lit_MagicMountain_6_question_06111_target,1,modest,question_images_version_203
Lit_MagicMountain_6_question_06111_target,2,și,question_images_version_203
Lit_MagicMountain_6_question_06111_target,3,deopotrivă,question_images_version_203
Lit_MagicMountain_6_question_06111_target,4,de,question_images_version_203
Lit_MagicMountain_6_question_06111_target,5,simpatic.,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_a,0,Tânăr,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_a,1,îngust,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_a,2,la,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_a,3,minte,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_a,4,și,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_a,5,dezagreabil.,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_b,0,"Tânăr,",question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_b,1,meticulos,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_b,2,și,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_b,3,obscur.,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_c,0,"Tânăr,",question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_c,1,relaxat,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_c,2,și,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_c,3,deschis,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_c,4,la,question_images_version_203
Lit_MagicMountain_6_question_06111_distractor_c,5,minte.,question_images_version_203
question_06121,0,De,question_images_version_203
question_06121,1,ce,question_images_version_203
question_06121,2,a,question_images_version_203
question_06121,3,pledat,question_images_version_203
question_06121,4,naratorul,question_images_version_203
question_06121,5,ca,question_images_version_203
question_06121,6,povestea,question_images_version_203
question_06121,7,să,question_images_version_203
question_06121,8,fie,question_images_version_203
question_06121,9,relatată,question_images_version_203
question_06121,10,cu,question_images_version_203
question_06121,11,mare,question_images_version_203
question_06121,12,băgare,question_images_version_203
question_06121,13,de,question_images_version_203
question_06121,14,seamă?,question_images_version_203
Lit_MagicMountain_6_question_06121_target,0,Naratorul,question_images_version_203
Lit_MagicMountain_6_question_06121_target,1,consideră,question_images_version_203
Lit_MagicMountain_6_question_06121_target,2,că,question_images_version_203
Lit_MagicMountain_6_question_06121_target,3,ceea,question_images_version_203
Lit_MagicMountain_6_question_06121_target,4,ce,question_images_version_203
Lit_MagicMountain_6_question_06121_target,5,este,question_images_version_203
Lit_MagicMountain_6_question_06121_target,6,lucrat,question_images_version_203
Lit_MagicMountain_6_question_06121_target,7,cu,question_images_version_203
Lit_MagicMountain_6_question_06121_target,8,îngrijire,question_images_version_203
Lit_MagicMountain_6_question_06121_target,9,este,question_images_version_203
Lit_MagicMountain_6_question_06121_target,10,plăcut.,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_a,0,Naratorul,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_a,1,dorea,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_a,2,să,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_a,3,se,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_a,4,prezinte,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_a,5,drept,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_a,6,meticulos.,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_b,0,Povestea,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_b,1,a,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_b,2,avut,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_b,3,loc,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_b,4,în,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_b,5,trecut.,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_c,0,Naratorului,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_c,1,i-au,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_c,2,plăcut,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_c,3,descrierile,question_images_version_203
Lit_MagicMountain_6_question_06121_distractor_c,4,detaliate.,question_images_version_203
question_06131,0,De,question_images_version_203
question_06131,1,ce,question_images_version_203
question_06131,2,a,question_images_version_203
question_06131,3,subliniat,question_images_version_203
question_06131,4,naratorul,question_images_version_203
question_06131,5,trecutul,question_images_version_203
question_06131,6,exagerat,question_images_version_203
question_06131,7,al,question_images_version_203
question_06131,8,povestirii?,question_images_version_203
Lit_MagicMountain_6_question_06131_target,0,Pentru,question_images_version_203
Lit_MagicMountain_6_question_06131_target,1,a-i,question_images_version_203
Lit_MagicMountain_6_question_06131_target,2,da,question_images_version_203
Lit_MagicMountain_6_question_06131_target,3,poveștii,question_images_version_203
Lit_MagicMountain_6_question_06131_target,4,statutul,question_images_version_203
Lit_MagicMountain_6_question_06131_target,5,de,question_images_version_203
Lit_MagicMountain_6_question_06131_target,6,legendă.,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_a,0,Pentru,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_a,1,a,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_a,2,critica,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_a,3,impactul,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_a,4,Marelui,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_a,5,Război,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_a,6,asupra,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_a,7,povestirii.,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_b,0,Pentru,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_b,1,a,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_b,2,sublinia,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_b,3,unicitatea,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_b,4,experiențelor,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_b,5,lui,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_b,6,Hans.,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,0,Pentru,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,1,a,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,2,sublinia,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,3,faptul,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,4,că,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,5,toate,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,6,personajele,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,7,din,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,8,poveste,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,9,sunt,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,10,moarte,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,11,de,question_images_version_203
Lit_MagicMountain_6_question_06131_distractor_c,12,mult.,question_images_version_203
question_06112,0,Ce,question_images_version_203
question_06112,1,a,question_images_version_203
question_06112,2,evitat,question_images_version_203
question_06112,3,naratorul,question_images_version_203
question_06112,4,cu,question_images_version_203
question_06112,5,bună,question_images_version_203
question_06112,6,știință?,question_images_version_203
Lit_MagicMountain_6_question_06112_target,0,Orice,question_images_version_203
Lit_MagicMountain_6_question_06112_target,1,urmă,question_images_version_203
Lit_MagicMountain_6_question_06112_target,2,de,question_images_version_203
Lit_MagicMountain_6_question_06112_target,3,prezent.,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_a,0,Scrierea,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_a,1,despre,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_a,2,evenimente,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_a,3,contemporane.,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_b,0,Scrierea,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_b,1,despre,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_b,2,Marele,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_b,3,Război.,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_c,0,Scrierea,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_c,1,la,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_c,2,timpul,question_images_version_203
Lit_MagicMountain_6_question_06112_distractor_c,3,viitor.,question_images_version_203
question_06122,0,De,question_images_version_203
question_06122,1,ce,question_images_version_203
question_06122,2,a,question_images_version_203
question_06122,3,fost,question_images_version_203
question_06122,4,important,question_images_version_203
question_06122,5,ca,question_images_version_203
question_06122,6,povestea,question_images_version_203
question_06122,7,să,question_images_version_203
question_06122,8,fie,question_images_version_203
question_06122,9,plasată,question_images_version_203
question_06122,10,în,question_images_version_203
question_06122,11,trecut?,question_images_version_203
Lit_MagicMountain_6_question_06122_target,0,Să,question_images_version_203
Lit_MagicMountain_6_question_06122_target,1,evidențieze,question_images_version_203
Lit_MagicMountain_6_question_06122_target,2,faptul,question_images_version_203
Lit_MagicMountain_6_question_06122_target,3,că,question_images_version_203
Lit_MagicMountain_6_question_06122_target,4,lumea,question_images_version_203
Lit_MagicMountain_6_question_06122_target,5,era,question_images_version_203
Lit_MagicMountain_6_question_06122_target,6,diferită,question_images_version_203
Lit_MagicMountain_6_question_06122_target,7,înainte,question_images_version_203
Lit_MagicMountain_6_question_06122_target,8,de,question_images_version_203
Lit_MagicMountain_6_question_06122_target,9,Marele,question_images_version_203
Lit_MagicMountain_6_question_06122_target,10,Război.,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,0,Pentru,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,1,a,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,2,clarifica,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,3,faptul,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,4,că,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,5,a,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,6,avut,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,7,loc,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,8,în,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,9,timp,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,10,de,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_a,11,război.,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_b,0,Pentru,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_b,1,a,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_b,2,sublinia,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_b,3,caracterul,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_b,4,continuu,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_b,5,al,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_b,6,experiențelor,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_b,7,lui,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_b,8,Hans.,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_c,0,Pentru,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_c,1,a,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_c,2,face,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_c,3,referire,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_c,4,adecvată,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_c,5,la,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_c,6,evenimente,question_images_version_203
Lit_MagicMountain_6_question_06122_distractor_c,7,istorice.,question_images_version_203
question_06132,0,Care,question_images_version_203
question_06132,1,este,question_images_version_203
question_06132,2,scopul,question_images_version_203
question_06132,3,principal,question_images_version_203
question_06132,4,al,question_images_version_203
