page,word_idx,word,question_image_version
question_04111,0,De,question_images_version_173
question_04111,1,ce,question_images_version_173
question_04111,2,a,question_images_version_173
question_04111,3,vrut,question_images_version_173
question_04111,4,băiatul,question_images_version_173
question_04111,5,să,question_images_version_173
question_04111,6,citească,question_images_version_173
question_04111,7,cărți,question_images_version_173
question_04111,8,mai,question_images_version_173
question_04111,9,groase?,question_images_version_173
Lit_Alchemist_4_question_04111_target,0,Pentru,question_images_version_173
Lit_Alchemist_4_question_04111_target,1,că,question_images_version_173
Lit_Alchemist_4_question_04111_target,2,erau,question_images_version_173
Lit_Alchemist_4_question_04111_target,3,perne,question_images_version_173
Lit_Alchemist_4_question_04111_target,4,mai,question_images_version_173
Lit_Alchemist_4_question_04111_target,5,bune.,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_a,0,Pentru,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_a,1,că,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_a,2,le,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_a,3,putea,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_a,4,folosi,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_a,5,pentru,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_a,6,a,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_a,7,mătura,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_a,8,podeaua.,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_b,0,Pentru,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_b,1,a,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_b,2,o,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_b,3,impresiona,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_b,4,pe,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_b,5,fiica,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_b,6,negustorului.,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_c,0,Pentru,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_c,1,a,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_c,2,afla,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_c,3,mai,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_c,4,multe,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_c,5,despre,question_images_version_173
Lit_Alchemist_4_question_04111_distractor_c,6,animale.,question_images_version_173
question_04112,0,Ce,question_images_version_173
question_04112,1,a,question_images_version_173
question_04112,2,văzut,question_images_version_173
question_04112,3,băiatul,question_images_version_173
question_04112,4,când,question_images_version_173
question_04112,5,s-a,question_images_version_173
question_04112,6,trezit?,question_images_version_173
Lit_Alchemist_4_question_04112_target,0,Stelele.,question_images_version_173
Lit_Alchemist_4_question_04112_distractor_a,0,Acoperișul.,question_images_version_173
Lit_Alchemist_4_question_04112_distractor_b,0,Arborele,question_images_version_173
Lit_Alchemist_4_question_04112_distractor_b,1,de,question_images_version_173
Lit_Alchemist_4_question_04112_distractor_b,2,sicomor.,question_images_version_173
Lit_Alchemist_4_question_04112_distractor_c,0,O,question_images_version_173
Lit_Alchemist_4_question_04112_distractor_c,1,pasăre,question_images_version_173
Lit_Alchemist_4_question_04112_distractor_c,2,într-un,question_images_version_173
Lit_Alchemist_4_question_04112_distractor_c,3,copac.,question_images_version_173
question_04121,0,De,question_images_version_173
question_04121,1,ce,question_images_version_173
question_04121,2,a,question_images_version_173
question_04121,3,blocat,question_images_version_173
question_04121,4,băiatul,question_images_version_173
question_04121,5,intrarea?,question_images_version_173
Lit_Alchemist_4_question_04121_target,0,Voia,question_images_version_173
Lit_Alchemist_4_question_04121_target,1,să,question_images_version_173
Lit_Alchemist_4_question_04121_target,2,țină,question_images_version_173
Lit_Alchemist_4_question_04121_target,3,oile,question_images_version_173
Lit_Alchemist_4_question_04121_target,4,înăuntru.,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_a,0,Pentru,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_a,1,ca,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_a,2,lupii,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_a,3,să,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_a,4,nu,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_a,5,atace,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_a,6,oile.,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_b,0,Pentru,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_b,1,ca,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_b,2,negustorul,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_b,3,să,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_b,4,nu,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_b,5,prindă,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_b,6,și,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_b,7,să,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_b,8,tundă,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_b,9,oile.,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_c,0,Nu,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_c,1,voia,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_c,2,ca,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_c,3,oile,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_c,4,să,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_c,5,fie,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_c,6,furate,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_c,7,de,question_images_version_173
Lit_Alchemist_4_question_04121_distractor_c,8,hoți.,question_images_version_173
question_04122,0,Unde,question_images_version_173
question_04122,1,a,question_images_version_173
question_04122,2,dormit,question_images_version_173
question_04122,3,băiatul?,question_images_version_173
Lit_Alchemist_4_question_04122_target,0,Într-o,question_images_version_173
Lit_Alchemist_4_question_04122_target,1,biserică.,question_images_version_173
Lit_Alchemist_4_question_04122_distractor_a,0,Într-o,question_images_version_173
Lit_Alchemist_4_question_04122_distractor_a,1,magazie.,question_images_version_173
Lit_Alchemist_4_question_04122_distractor_b,0,Pe,question_images_version_173
Lit_Alchemist_4_question_04122_distractor_b,1,un,question_images_version_173
Lit_Alchemist_4_question_04122_distractor_b,2,câmp.,question_images_version_173
Lit_Alchemist_4_question_04122_distractor_c,0,Într-un,question_images_version_173
Lit_Alchemist_4_question_04122_distractor_c,1,cort.,question_images_version_173
question_04131,0,Cum,question_images_version_173
question_04131,1,era,question_images_version_173
question_04131,2,relația,question_images_version_173
question_04131,3,turmei,question_images_version_173
question_04131,4,cu,question_images_version_173
question_04131,5,băiatul?,question_images_version_173
Lit_Alchemist_4_question_04131_target,0,Oile,question_images_version_173
Lit_Alchemist_4_question_04131_target,1,au,question_images_version_173
Lit_Alchemist_4_question_04131_target,2,o,question_images_version_173
Lit_Alchemist_4_question_04131_target,3,companie,question_images_version_173
Lit_Alchemist_4_question_04131_target,4,reciprocă,question_images_version_173
Lit_Alchemist_4_question_04131_target,5,cu,question_images_version_173
Lit_Alchemist_4_question_04131_target,6,băiatul.,question_images_version_173
Lit_Alchemist_4_question_04131_distractor_a,0,Oile,question_images_version_173
Lit_Alchemist_4_question_04131_distractor_a,1,îl,question_images_version_173
Lit_Alchemist_4_question_04131_distractor_a,2,epuizează,question_images_version_173
Lit_Alchemist_4_question_04131_distractor_a,3,pe,question_images_version_173
Lit_Alchemist_4_question_04131_distractor_a,4,băiat.,question_images_version_173
Lit_Alchemist_4_question_04131_distractor_b,0,Oile,question_images_version_173
Lit_Alchemist_4_question_04131_distractor_b,1,îl,question_images_version_173
Lit_Alchemist_4_question_04131_distractor_b,2,văd,question_images_version_173
Lit_Alchemist_4_question_04131_distractor_b,3,pe,question_images_version_173
Lit_Alchemist_4_question_04131_distractor_b,4,băiat,question_images_version_173
