time,screen,pixel_x,pixel_y,pupil
3850881,stimulus_Lit_Alchemist_4_question_4112,304.1,192.7,1665.0
3850882,stimulus_Lit_Alchemist_4_question_4112,303.9,193.2,1665.0
3850883,stimulus_Lit_Alchemist_4_question_4112,303.8,193.5,1665.0
3850884,stimulus_Lit_Alchemist_4_question_4112,304.1,193.3,1665.0
3850885,stimulus_Lit_Alchemist_4_question_4112,304.4,193.1,1666.0
3850886,stimulus_Lit_Alchemist_4_question_4112,304.5,193.0,1667.0
3850887,stimulus_Lit_Alchemist_4_question_4112,304.6,193.1,1667.0
3850888,stimulus_Lit_Alchemist_4_question_4112,304.7,193.3,1666.0
3850889,stimulus_Lit_Alchemist_4_question_4112,305.0,193.6,1664.0
3850890,stimulus_Lit_Alchemist_4_question_4112,305.3,193.6,1663.0
3850891,stimulus_Lit_Alchemist_4_question_4112,305.5,193.6,1663.0
3850892,stimulus_Lit_Alchemist_4_question_4112,305.5,193.5,1663.0
3850893,stimulus_Lit_Alchemist_4_question_4112,305.4,193.4,1664.0
3850894,stimulus_Lit_Alchemist_4_question_4112,305.2,193.3,1663.0
3850895,stimulus_Lit_Alchemist_4_question_4112,305.0,193.1,1662.0
3850896,stimulus_Lit_Alchemist_4_question_4112,304.9,193.0,1661.0
3850897,stimulus_Lit_Alchemist_4_question_4112,305.2,192.9,1661.0
3850898,stimulus_Lit_Alchemist_4_question_4112,305.5,192.8,1659.0
3850899,stimulus_Lit_Alchemist_4_question_4112,305.8,192.7,1657.0
3850900,stimulus_Lit_Alchemist_4_question_4112,305.9,192.7,1655.0
3850901,stimulus_Lit_Alchemist_4_question_4112,306.0,192.7,1654.0
3850902,stimulus_Lit_Alchemist_4_question_4112,306.3,192.7,1654.0
3850903,stimulus_Lit_Alchemist_4_question_4112,306.4,192.7,1654.0
3850904,stimulus_Lit_Alchemist_4_question_4112,306.6,192.6,1654.0
3850905,stimulus_Lit_Alchemist_4_question_4112,306.7,192.6,1654.0
3850906,stimulus_Lit_Alchemist_4_question_4112,306.5,192.5,1654.0
3850907,stimulus_Lit_Alchemist_4_question_4112,306.3,192.6,1654.0
3850908,stimulus_Lit_Alchemist_4_question_4112,306.1,192.6,1653.0
3850909,stimulus_Lit_Alchemist_4_question_4112,306.1,192.6,1653.0
3850910,stimulus_Lit_Alchemist_4_question_4112,306.1,192.7,1652.0
3850911,stimulus_Lit_Alchemist_4_question_4112,305.6,192.7,1653.0
3850912,stimulus_Lit_Alchemist_4_question_4112,305.1,192.7,1653.0
3850913,stimulus_Lit_Alchemist_4_question_4112,304.7,192.7,1653.0
3850914,stimulus_Lit_Alchemist_4_question_4112,304.7,192.7,1653.0
3850915,stimulus_Lit_Alchemist_4_question_4112,304.8,192.7,1653.0
3850916,stimulus_Lit_Alchemist_4_question_4112,305.0,192.7,1652.0
3850917,stimulus_Lit_Alchemist_4_question_4112,305.2,192.7,1652.0
3850918,stimulus_Lit_Alchemist_4_question_4112,305.3,192.8,1649.0
3850919,stimulus_Lit_Alchemist_4_question_4112,305.6,192.9,1646.0
3850920,stimulus_Lit_Alchemist_4_question_4112,305.8,193.0,1644.0
3850921,stimulus_Lit_Alchemist_4_question_4112,305.9,193.1,1646.0
3850922,stimulus_Lit_Alchemist_4_question_4112,305.9,193.1,1646.0
3850923,stimulus_Lit_Alchemist_4_question_4112,305.6,193.3,1646.0
3850924,stimulus_Lit_Alchemist_4_question_4112,305.2,193.6,1645.0
3850925,stimulus_Lit_Alchemist_4_question_4112,304.9,193.8,1644.0
3850926,stimulus_Lit_Alchemist_4_question_4112,304.9,193.8,1644.0
3850927,stimulus_Lit_Alchemist_4_question_4112,305.1,193.8,1643.0
3850928,stimulus_Lit_Alchemist_4_question_4112,305.2,193.7,1642.0
3850929,stimulus_Lit_Alchemist_4_question_4112,305.4,193.5,1641.0
3850930,stimulus_Lit_Alchemist_4_question_4112,305.6,193.3,1642.0
3850931,stimulus_Lit_Alchemist_4_question_4112,305.9,193.1,1642.0
