page,word_idx,word,question_image_version
question_01111,0,Ce,question_images_version_173
question_01111,1,este,question_images_version_173
question_01111,2,o,question_images_version_173
question_01111,3,acțiune,question_images_version_173
question_01111,4,COST?,question_images_version_173
PopSci_MultiplEYE_1_question_01111_target,0,Este,question_images_version_173
PopSci_MultiplEYE_1_question_01111_target,1,o,question_images_version_173
PopSci_MultiplEYE_1_question_01111_target,2,rețea,question_images_version_173
PopSci_MultiplEYE_1_question_01111_target,3,de,question_images_version_173
PopSci_MultiplEYE_1_question_01111_target,4,cercetători,question_images_version_173
PopSci_MultiplEYE_1_question_01111_target,5,finanțată,question_images_version_173
PopSci_MultiplEYE_1_question_01111_target,6,de,question_images_version_173
PopSci_MultiplEYE_1_question_01111_target,7,Uniunea,question_images_version_173
PopSci_MultiplEYE_1_question_01111_target,8,Europeană.,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_a,0,Este,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_a,1,o,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_a,2,rețea,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_a,3,europeană,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_a,4,de,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_a,5,cercetare,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_a,6,pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_a,7,inovații,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_a,8,tehnologice.,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,0,Este,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,1,o,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,2,rețea,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,3,de,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,4,cercetare,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,5,pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,6,urmărirea,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,7,ochilor,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,8,în,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,9,mai,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,10,multe,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_b,11,limbi.,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,0,Este,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,1,o,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,2,rețea,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,3,europeană,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,4,pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,5,cercetarea,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,6,lecturii,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,7,în,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,8,mai,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,9,multe,question_images_version_173
PopSci_MultiplEYE_1_question_01111_distractor_c,10,limbi.,question_images_version_173
question_01112,0,Pentru,question_images_version_173
question_01112,1,ce,question_images_version_173
question_01112,2,folosesc,question_images_version_173
question_01112,3,membrii,question_images_version_173
question_01112,4,proiectului,question_images_version_173
question_01112,5,MultiplEYE,question_images_version_173
question_01112,6,un,question_images_version_173
question_01112,7,eye-tracker?,question_images_version_173
PopSci_MultiplEYE_1_question_01112_target,0,Pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01112_target,1,a,question_images_version_173
PopSci_MultiplEYE_1_question_01112_target,2,măsura,question_images_version_173
PopSci_MultiplEYE_1_question_01112_target,3,punctul,question_images_version_173
PopSci_MultiplEYE_1_question_01112_target,4,de,question_images_version_173
PopSci_MultiplEYE_1_question_01112_target,5,privire,question_images_version_173
PopSci_MultiplEYE_1_question_01112_target,6,și,question_images_version_173
PopSci_MultiplEYE_1_question_01112_target,7,mișcările,question_images_version_173
PopSci_MultiplEYE_1_question_01112_target,8,ochilor.,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_a,0,Pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_a,1,a,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_a,2,măsura,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_a,3,direcția,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_a,4,și,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_a,5,mișcarea,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_a,6,capului,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_a,7,în,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_a,8,timpul,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_a,9,citirii.,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,0,Pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,1,a,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,2,măsura,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,3,semnificația,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,4,unui,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,5,text,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,6,și,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,7,a,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,8,structurilor,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,9,sale,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_b,10,gramaticale.,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,0,Pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,1,a,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,2,măsura,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,3,citirea,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,4,fără,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,5,atenție,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,6,a,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,7,unui,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,8,text,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,9,și,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,10,efectul,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,11,acesteia,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,12,asupra,question_images_version_173
PopSci_MultiplEYE_1_question_01112_distractor_c,13,înțelegerii.,question_images_version_173
question_01121,0,De,question_images_version_173
question_01121,1,ce,question_images_version_173
question_01121,2,este,question_images_version_173
question_01121,3,utilă,question_images_version_173
question_01121,4,urmărirea,question_images_version_173
question_01121,5,oculară,question_images_version_173
question_01121,6,pentru,question_images_version_173
question_01121,7,studiul,question_images_version_173
question_01121,8,limbajului,question_images_version_173
question_01121,9,în,question_images_version_173
question_01121,10,cadrul,question_images_version_173
question_01121,11,proiectului?,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,0,Urmărirea,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,1,oculară,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,2,va,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,3,fi,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,4,utilizată,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,5,pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,6,a,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,7,deduce,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,8,modul,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,9,în,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,10,care,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,11,oamenii,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,12,înțeleg,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,13,textul,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,14,în,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,15,timp,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,16,ce,question_images_version_173
PopSci_MultiplEYE_1_question_01121_target,17,citesc.,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,0,Urmărirea,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,1,oculară,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,2,va,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,3,fi,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,4,utilizată,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,5,pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,6,a,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,7,identifica,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,8,erorile,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,9,gramaticale,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,10,din,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_a,11,text.,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,0,Urmărirea,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,1,oculară,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,2,va,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,3,fi,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,4,utilizată,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,5,pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,6,a,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,7,investiga,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,8,aspectele,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,9,comune,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,10,dintre,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,11,citirea,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,12,diverselor,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_b,13,texte.,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,0,Urmărirea,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,1,oculară,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,2,va,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,3,fi,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,4,utilizată,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,5,va,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,6,fi,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,7,utilizat,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,8,pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,9,a,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,10,înțelege,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,11,ce,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,12,înseamnă,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,13,limbajul,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,14,pentru,question_images_version_173
PopSci_MultiplEYE_1_question_01121_distractor_c,15,oameni.,question_images_version_173
question_01122,0,Care,question_images_version_173
question_01122,1,este,question_images_version_173
question_01122,2,obiectivul,question_images_version_173
question_01122,3,general,question_images_version_173
question_01122,4,al,question_images_version_173
question_01122,5,cercetătorilor,question_images_version_173
question_01122,6,din,question_images_version_173
question_01122,7,cadrul,question_images_version_173
question_01122,8,proiectului,question_images_version_173
question_01122,9,MultiplEYE?,question_images_version_173
PopSci_MultiplEYE_1_question_01122_target,0,Colectarea,question_images_version_173
PopSci_MultiplEYE_1_question_01122_target,1,datelor,question_images_version_173
PopSci_MultiplEYE_1_question_01122_target,2,de,question_images_version_173
PopSci_MultiplEYE_1_question_01122_target,3,urmărire,question_images_version_173
