page,word_idx,word,question_image_version
question_10111,0,Care,question_images_version_173
question_10111,1,este,question_images_version_173
question_10111,2,o,question_images_version_173
question_10111,3,modalitate,question_images_version_173
question_10111,4,bună,question_images_version_173
question_10111,5,de,question_images_version_173
question_10111,6,a,question_images_version_173
question_10111,7,furniza,question_images_version_173
question_10111,8,corpului,question_images_version_173
question_10111,9,uman,question_images_version_173
question_10111,10,nutrienți,question_images_version_173
question_10111,11,cheie,question_images_version_173
question_10111,12,conform,question_images_version_173
question_10111,13,Asociației,question_images_version_173
question_10111,14,Internaționale,question_images_version_173
question_10111,15,a,question_images_version_173
question_10111,16,Alimentelor,question_images_version_173
question_10111,17,Lactate?,question_images_version_173
Arg_PISACowsMilk_10_question_10111_target,0,Consumul,question_images_version_173
Arg_PISACowsMilk_10_question_10111_target,1,zilnic,question_images_version_173
Arg_PISACowsMilk_10_question_10111_target,2,de,question_images_version_173
Arg_PISACowsMilk_10_question_10111_target,3,produse,question_images_version_173
Arg_PISACowsMilk_10_question_10111_target,4,lactate.,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,0,Aport,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,1,nutrițional,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,2,suficient,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,3,pentru,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,4,a,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,5,atinge,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,6,cantitatea,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,7,optimă,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,8,de,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,9,vitamine,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,10,și,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_a,11,minerale.,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_b,0,O,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_b,1,dietă,question_images_version_173
Arg_PISACowsMilk_10_question_10111_distractor_b,2,sănătoasă.,question_images_version_173
